episode,reward
0,0.42
50,0.46
100,0.42
150,0.18
200,0.44
250,0.16
300,0.24
350,0.26
400,0.4
450,0.4
500,0.08
550,0.58
600,0.1
650,0.22
700,0.64
750,0.3
800,0.44
850,0.7
900,0.56
950,0.12
1000,0.74
1050,0.8
1100,0.74
1150,0.48
1200,0.26
1250,0.5
1300,0.2
1350,0.48
1400,0.22
1450,0.3
1500,0.72
1550,0.14
1600,0.18
1650,0.4
1700,0.84
1750,0.48
1800,0.8
1850,0.42
1900,0.66
1950,0.46
