episode,reward
0,0.6
50,0.38
100,0.26
150,0.24
200,0.34
250,0.14
300,0.08
350,0.18
400,0.16
450,0.22
500,0.14
550,0.56
600,0.46
650,0.08
700,0.32
750,0.26
800,0.5
850,0.14
900,0.06
950,0.24
